2025-05-14T13:26:33.390Z [info]: Logged request to /api/listing/templates | Method: GET | Status Code: 304 | Duration: 284ms
2025-05-14T13:26:33.394Z [info]: Logged request to /api/stock/inventory-with-stocks | Method: GET | Status Code: 200 | Duration: 277ms
2025-05-14T13:26:33.653Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 124ms
2025-05-14T13:26:33.670Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 266ms
2025-05-14T13:26:33.792Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 164ms
2025-05-14T13:26:34.195Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 534ms
2025-05-14T13:26:34.400Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 1224ms
2025-05-14T13:26:34.690Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 280ms
2025-05-14T13:26:34.799Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 126ms
2025-05-14T13:26:35.391Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 557ms
2025-05-14T13:26:35.502Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 142ms
2025-05-14T13:26:39.441Z [info]: Logged request to /api/inventory/68246c9426060a83f37c49ff | Method: GET | Status Code: 200 | Duration: 230ms
2025-05-14T13:26:39.531Z [info]: Logged request to /api/stock/get/68246c9426060a83f37c49ff | Method: GET | Status Code: 304 | Duration: 280ms
2025-05-14T13:26:40.610Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 304 | Duration: 1070ms
2025-05-14T13:27:30.645Z [info]: Logged request to /api/inventory | Method: GET | Status Code: 200 | Duration: 281ms
2025-05-14T13:27:30.747Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 119ms
2025-05-14T13:27:33.912Z [info]: Logged request to /api/inventory/68246c9426060a83f37c49ff | Method: GET | Status Code: 304 | Duration: 241ms
2025-05-14T13:27:35.117Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 304 | Duration: 1044ms
2025-05-14T13:27:41.626Z [info]: Logged request to /api/listing | Method: POST | Status Code: 201 | Duration: 245ms
2025-05-14T13:27:41.978Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: GET | Status Code: 200 | Duration: 227ms
2025-05-14T13:27:43.190Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 304 | Duration: 1046ms
2025-05-14T13:27:51.567Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: PATCH | Status Code: 200 | Duration: 243ms
2025-05-14T13:27:53.558Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: PATCH | Status Code: 200 | Duration: 231ms
2025-05-14T13:27:55.296Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: PATCH | Status Code: 200 | Duration: 329ms
2025-05-14T13:34:32.273Z [info]: Logged request to /api/supplier | Method: GET | Status Code: 200 | Duration: 221ms
2025-05-14T13:34:32.295Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 357ms
2025-05-14T13:34:32.712Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 372ms
2025-05-14T13:34:32.832Z [info]: Logged request to /api/user | Method: GET | Status Code: 200 | Duration: 840ms
2025-05-14T13:35:15.214Z [info]: Logged request to /api/supplier | Method: GET | Status Code: 304 | Duration: 149ms
2025-05-14T13:35:15.291Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 273ms
2025-05-14T13:35:15.584Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 273ms
2025-05-14T13:35:19.080Z [info]: Logged request to /api/supplier | Method: GET | Status Code: 304 | Duration: 128ms
2025-05-14T13:35:19.203Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 266ms
2025-05-14T13:35:19.471Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 264ms
2025-05-14T13:35:19.526Z [info]: Logged request to /api/user | Method: GET | Status Code: 200 | Duration: 583ms
2025-05-14T13:35:53.237Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 298ms
2025-05-14T13:35:53.364Z [info]: Logged request to /api/stock/inventory-with-stocks-and-draft-stocks? | Method: GET | Status Code: 200 | Duration: 397ms
2025-05-14T13:35:53.540Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 291ms
2025-05-14T13:36:00.729Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 200 | Duration: 136ms
2025-05-14T13:36:00.803Z [info]: Logged request to /api/discount | Method: GET | Status Code: 200 | Duration: 256ms
2025-05-14T13:36:00.850Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 162ms
2025-05-14T13:36:00.958Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 200 | Duration: 405ms
2025-05-14T13:36:01.093Z [info]: Logged request to /api/listing/search?page=1&limit=10 | Method: GET | Status Code: 200 | Duration: 544ms
2025-05-14T13:36:01.153Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 294ms
2025-05-14T13:36:01.203Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 250ms
2025-05-14T13:36:07.345Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: GET | Status Code: 200 | Duration: 247ms
2025-05-14T13:36:10.529Z [info]: Logged request to /api/variations/68249a4daa88505936c5d734 | Method: GET | Status Code: 404 | Duration: 132ms
2025-05-14T13:36:10.659Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: GET | Status Code: 304 | Duration: 285ms
2025-05-14T13:36:10.670Z [info]: Logged request to /api/variations/68249a4daa88505936c5d734 | Method: GET | Status Code: 404 | Duration: 150ms
2025-05-14T13:36:10.684Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 390ms
2025-05-14T13:36:10.715Z [info]: Logged request to /api/inventory/68246c9426060a83f37c49ff | Method: GET | Status Code: 304 | Duration: 338ms
2025-05-14T13:36:10.740Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 345ms
2025-05-14T13:36:10.945Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: GET | Status Code: 304 | Duration: 251ms
2025-05-14T13:36:11.160Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 413ms
2025-05-14T13:36:11.532Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 304 | Duration: 1205ms
2025-05-14T13:36:11.748Z [info]: Logged request to /api/inventory/68246c9426060a83f37c49ff | Method: GET | Status Code: 304 | Duration: 1017ms
2025-05-14T13:36:11.819Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 1071ms
2025-05-14T13:36:11.885Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 304 | Duration: 365ms
2025-05-14T13:36:12.364Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 304 | Duration: 475ms
2025-05-14T13:36:12.741Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 304 | Duration: 340ms
2025-05-14T13:36:43.578Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: PATCH | Status Code: 200 | Duration: 300ms
2025-05-14T13:38:09.372Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734/get-all-attributes | Method: GET | Status Code: 200 | Duration: 1538ms
2025-05-14T13:38:10.094Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734/get-all-attributes | Method: GET | Status Code: 304 | Duration: 667ms
2025-05-14T13:52:12.828Z [info]: Logged request to /api/variations/68249a4daa88505936c5d734 | Method: GET | Status Code: 404 | Duration: 120ms
2025-05-14T13:52:12.859Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 269ms
2025-05-14T13:52:12.937Z [info]: Logged request to /api/inventory/68246c9426060a83f37c49ff | Method: GET | Status Code: 304 | Duration: 269ms
2025-05-14T13:52:12.988Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 268ms
2025-05-14T13:52:13.003Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: GET | Status Code: 200 | Duration: 264ms
2025-05-14T13:52:13.017Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 375ms
2025-05-14T13:52:13.099Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 236ms
2025-05-14T13:52:13.104Z [info]: Logged request to /api/variations/68249a4daa88505936c5d734 | Method: GET | Status Code: 404 | Duration: 132ms
2025-05-14T13:52:13.190Z [info]: Logged request to /api/inventory/68246c9426060a83f37c49ff | Method: GET | Status Code: 304 | Duration: 241ms
2025-05-14T13:52:13.261Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: GET | Status Code: 304 | Duration: 248ms
2025-05-14T13:52:13.285Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 287ms
2025-05-14T13:52:13.383Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 283ms
2025-05-14T13:52:13.606Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 234ms
2025-05-14T13:52:14.123Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 1039ms
2025-05-14T13:52:17.316Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 304 | Duration: 1415ms
2025-05-14T13:52:17.745Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 304 | Duration: 426ms
2025-05-14T13:52:23.165Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 253ms
2025-05-14T13:52:23.441Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 279ms
2025-05-14T13:52:28.783Z [info]: Logged request to /api/inventory/68246c9426060a83f37c49ff | Method: GET | Status Code: 304 | Duration: 226ms
2025-05-14T13:52:28.785Z [info]: Logged request to /api/variations/68249a4daa88505936c5d734 | Method: GET | Status Code: 404 | Duration: 136ms
2025-05-14T13:52:28.869Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 361ms
2025-05-14T13:52:28.923Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: GET | Status Code: 304 | Duration: 245ms
2025-05-14T13:52:28.939Z [info]: Logged request to /api/variations/68249a4daa88505936c5d734 | Method: GET | Status Code: 404 | Duration: 113ms
2025-05-14T13:52:28.946Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 280ms
2025-05-14T13:52:29.031Z [info]: Logged request to /api/inventory/68246c9426060a83f37c49ff | Method: GET | Status Code: 304 | Duration: 242ms
2025-05-14T13:52:29.158Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 229ms
2025-05-14T13:52:29.209Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: GET | Status Code: 304 | Duration: 269ms
2025-05-14T13:52:29.253Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 377ms
2025-05-14T13:52:31.190Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 304 | Duration: 1037ms
2025-05-14T13:52:31.577Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 304 | Duration: 382ms
2025-05-14T13:52:33.878Z [info]: Logged request to /api/variations/68249a4daa88505936c5d734 | Method: GET | Status Code: 404 | Duration: 226ms
2025-05-14T13:52:34.040Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 355ms
2025-05-14T13:54:19.457Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734/get-all-attributes | Method: GET | Status Code: 304 | Duration: 1486ms
2025-05-14T13:54:20.088Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734/get-all-attributes | Method: GET | Status Code: 304 | Duration: 664ms
2025-05-14T14:14:23.798Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 124ms
2025-05-14T14:14:23.935Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 268ms
2025-05-14T14:14:23.945Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 258ms
2025-05-14T14:14:24.144Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 450ms
2025-05-14T14:14:24.160Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 222ms
2025-05-14T14:14:24.291Z [info]: Logged request to /api/listing/search?page=1&limit=10 | Method: GET | Status Code: 200 | Duration: 586ms
2025-05-14T14:17:05.099Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: PATCH | Status Code: 500 | Duration: 5416ms
2025-05-14T14:17:23.458Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 299ms
2025-05-14T14:17:23.678Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 255ms
2025-05-14T14:17:25.141Z [info]: Logged request to /api/variations/68249a4daa88505936c5d734 | Method: GET | Status Code: 404 | Duration: 143ms
2025-05-14T14:17:25.211Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 238ms
2025-05-14T14:17:25.238Z [info]: Logged request to /api/inventory/68246c9426060a83f37c49ff | Method: GET | Status Code: 304 | Duration: 270ms
2025-05-14T14:17:25.239Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: GET | Status Code: 200 | Duration: 244ms
2025-05-14T14:17:25.265Z [info]: Logged request to /api/variations/68249a4daa88505936c5d734 | Method: GET | Status Code: 404 | Duration: 123ms
2025-05-14T14:17:25.282Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 345ms
2025-05-14T14:17:25.462Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 243ms
2025-05-14T14:17:25.473Z [info]: Logged request to /api/inventory/68246c9426060a83f37c49ff | Method: GET | Status Code: 304 | Duration: 240ms
2025-05-14T14:17:25.531Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: GET | Status Code: 304 | Duration: 283ms
2025-05-14T14:17:25.743Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 410ms
2025-05-14T14:17:26.586Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 304 | Duration: 1062ms
2025-05-14T14:17:26.892Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 304 | Duration: 381ms
2025-05-14T14:17:34.084Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: PATCH | Status Code: 500 | Duration: 2250ms
2025-05-14T14:17:44.528Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734/get-all-attributes | Method: GET | Status Code: 304 | Duration: 1444ms
2025-05-14T14:17:45.165Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734/get-all-attributes | Method: GET | Status Code: 304 | Duration: 807ms
2025-05-14T14:18:43.796Z [info]: Logged request to /api/listing/68249a4daa88505936c5d734 | Method: PATCH | Status Code: 500 | Duration: 2479ms
2025-05-14T14:19:13.489Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 143ms
2025-05-14T14:19:13.708Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 278ms
2025-05-14T14:19:13.729Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 312ms
2025-05-14T14:19:13.883Z [info]: Logged request to /api/listing/search?page=1&limit=10 | Method: GET | Status Code: 200 | Duration: 520ms
2025-05-14T14:19:13.892Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 521ms
2025-05-14T14:19:13.962Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 330ms
2025-05-14T14:19:29.090Z [info]: Logged request to /api/stock/inventory-with-stocks | Method: GET | Status Code: 200 | Duration: 757ms
2025-05-14T14:19:29.125Z [info]: Logged request to /api/listing/templates | Method: GET | Status Code: 304 | Duration: 799ms
2025-05-14T14:19:29.128Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 786ms
2025-05-14T14:19:29.234Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 1097ms
